Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Ad Production,Digital Ad Production,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Ad Production,Other Ad Production,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,100.0,491755,491755,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Agency Fees,Creative Agency Fees,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Agency Fees,Media Agency Fees,100.0,8605718,8605718,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Agency Fees,Other Agency Fees,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Innovation and Insight,Innovation,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Innovation and Insight,Market Research,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Advanced Analytics,100.0,983510,983510,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Brand Building,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Consumer Tracking,100.0,7130452,7130452,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,100.0,737632,737632,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Foundational Data / Systems,0.0,0,0,0,Water
LAB Mexico,Mexico,2025,Be-Light,Pull-Non-Working,Insight,Innovation Insights,0.0,0,0,0,Water
