Country,Year,Month,Category,Brand,Data Type,Tier 1,Tier 2,Tier 3,Expense
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,125
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"20,603"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,847
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Advanced Analytics,"39,123"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Insight,Consumer Tracking,"1,951"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Cross Charges,"144,980"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-79,581"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - Non working,Package Design,Package Design,"1,084"
Brazil,2021,1,CSD Colas,PEPSI,A&M,PULL - working,Other Working,Cross Charges,"19,770"
Brazil,2021,1,CSD Colas,PEPSI,STB,PUSH,Trade Programs,Other Trade Programs,"673,680"
Brazil,2021,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"9,291"
Brazil,2021,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"3,072"
Brazil,2021,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"1,796"
Brazil,2021,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Insight,Advanced Analytics,"14,493"
Brazil,2021,1,CSD Lemon Lime,H2OH,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,275
Brazil,2021,1,CSD Lemon Lime,H2OH,STB,PUSH,Trade Programs,Other Trade Programs,"96,072"
Brazil,2021,1,RTD Tea,Lipton,A&M,PULL - Non working,Agency Fees,Other Agency Fees,187
Brazil,2021,1,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Advanced Analytics,"12,012"
Brazil,2021,1,RTD Tea,Lipton,A&M,PULL - Non working,Insight,Consumer Tracking,967
Brazil,2021,1,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,All Other Non Working,304
Brazil,2021,1,RTD Tea,Lipton,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,842
Brazil,2021,1,RTD Tea,Lipton,STB,PUSH,Trade Programs,Other Trade Programs,"102,351"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"12,229"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"1,858"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Other Agency Fees,"8,952"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"3,097"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Insight,Advanced Analytics,"12,515"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - Non working,Other Non Working,Fall In / Fall Out,"-3,839"
Brazil,2021,1,Sport Drinks,Gatorade,A&M,PULL - working,Sponsorships,Sponsorships,"116,760"
Brazil,2021,1,Sport Drinks,Gatorade,STB,PUSH,Trade Programs,Other Trade Programs,"102,000"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Creative Agency Fees,"1,062"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Media Agency Fees,"5,251"
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Other Agency Fees,-138
Brazil,2021,2,CSD Colas,PEPSI,A&M,PULL - Non working,Agency Fees,Social Media/Influence Marketing,"2,616"
